,start station name,start station id,start station latitude,start station longitude,count
0,1 Ave & E 110 St,3496,40.7923272,-73.9383,16260
1,1 Ave & E 16 St,504,40.73221853,-73.98165557,54708
2,1 Ave & E 16 St [temporarily removed],504,40.73221853,-73.98165557,4434
3,1 Ave & E 18 St,2003,40.73381219196632,-73.98054420948029,47532
4,1 Ave & E 18 St [temporarily removed],2003,40.73381219196632,-73.98054420948029,4388
5,1 Ave & E 30 St,536,40.74144387,-73.97536082,40448
6,1 Ave & E 39 St,4121,40.74714,-73.97113,21300
7,1 Ave & E 44 St,455,40.75001986,-73.96905301,28413
8,1 Ave & E 5 St,3744,40.725864,-73.986389,41643
9,1 Ave & E 62 St,3142,40.7612274,-73.96094022,58550
10,1 Ave & E 68 St,3141,40.76500525,-73.95818491,100753
11,1 Ave & E 78 St,3140,40.77140426,-73.9535166,58445
12,1 Ave & E 94 St,3312,40.7817212,-73.94594,22184
13,1 Pl & Clinton St,3386,40.6809591,-73.99905709,7820
14,10 Ave & W 28 St,489,40.75066386,-74.00176802,49164
15,10 Hudson Yards,3441,40.752957,-74.00264,501
16,10 St & 2 Ave,3795,40.671907,-73.993612,3376
17,10 St & 5 Ave,3317,40.6686273,-73.98700053,6708
18,10 St & 7 Ave,3306,40.6662078,-73.98199886,9268
19,11 Ave & W 27 St,458,40.751396,-74.005226,41645
20,11 Ave & W 41 St,478,40.76030096,-73.99884222,62648
21,11 Ave & W 59 St,530,40.77149671054441,-73.99046033620834,41349
22,11 St & 35 Ave,3567,40.7627442,-73.9391141,1499
23,11 St & 43 Ave,3620,40.7519071,-73.9479119,3953
24,12 Ave & W 125 St,3881,40.818299,-73.960405,35294
25,12 Ave & W 40 St,514,40.76087502,-74.00277668,97415
26,12 St & 4 Ave,3322,40.668603,-73.9904394,5476
27,14 St & 5 Ave,3319,40.666287,-73.98895053,13460
28,14 St & 7 Ave,3310,40.663779,-73.98396846,11049
29,18 St & 27 Ave,4309,40.772768286288304,-73.92743647098541,20
30,19 St & 24 Ave,3524,40.7774552,-73.9225403,8986
31,2 Ave & 36 St,3478,40.65708866668485,-74.00870203971863,9000
32,2 Ave & E 104 St,3425,40.7892105,-73.94370784,14431
33,2 Ave & E 122 St,3499,40.8006721,-73.9349,7202
34,2 Ave & E 125 St,3994,40.802554,-73.933509,6940
35,2 Ave & E 31 St,528,40.74290902,-73.97706058,60938
36,2 Ave & E 72 St,3725,40.7687620293096,-73.95840793848038,45562
37,2 Ave & E 96 St,3318,40.7839636,-73.9471673,30068
38,2 Ave & E 99 St,3338,40.7862586,-73.94552579,12137
39,21 St & 23 Ave,4302,40.778557,-73.919046,41
40,21 St & 31 Dr,3591,40.7659,-73.930819,8586
41,21 St & 36 Ave,3564,40.7601853,-73.9362726,4477
42,21 St & 38 Ave,3559,40.7576314,-73.9391224,2012
43,21 St & 43 Ave,3128,40.75052534,-73.94594845,3590
44,21 St & Hoyt Ave S,3513,40.774645,-73.923706,9651
45,21 St & Queens Plaza North,3130,40.75325964,-73.94335788,7908
46,23 Ave & 27 St,3525,40.776165,-73.9153175,4168
47,24 Ave & 26 St,3515,40.774591,-73.918544,4157
48,24 Ave & 29 St,3523,40.7729,-73.916142,5440
49,24 St & 38 Ave,4310,40.756351,-73.936515,2
50,24 St & 41 Ave,3556,40.7527085,-73.9397405,382
51,24 St & 41 Ave,3808,40.752474,-73.939991,6509
52,24 St & 41 Ave (original),3556,40.7527085,-73.9397405,219
53,27 Ave & 3 St,3811,40.77485,-73.9342,3394
54,27 Ave & 9 St,3621,40.7739825,-73.9309134,5256
55,27 St & Hunter St,3618,40.7485,-73.941275,13582
56,28 Ave & 35 St,3617,40.7671,-73.9169858,10307
57,28 Ave & 44 St,3691,40.76408932350688,-73.91065120697021,5400
58,28 St & 36 Ave,3563,40.757186,-73.932719,5544
59,28 St & 41 Ave,3555,40.751047,-73.93797,11481
60,3 Ave & 14 St,3324,40.6685455,-73.99333264,5723
61,3 Ave & Carroll St,3762,40.677027,-73.9865,4695
62,3 Ave & E 100 St,3327,40.7877214,-73.94728331,7496
63,3 Ave & E 112 St,3551,40.795508,-73.941606,8378
64,3 Ave & E 163 St,4137,40.823872,-73.908699,587
65,3 Ave & E 169 St,4151,40.832678,-73.905158,544
66,3 Ave & E 170 St,4174,40.834857,-73.903743,794
67,3 Ave & E 172 St,4159,40.839586,-73.900277,554
68,3 Ave & E 174 St,4161,40.84224,-73.8985,601
69,3 Ave & E 62 St,3134,40.76312584,-73.96526895,25714
