end_station_name,count,end_station_id,end_lat,end_lng
1 Ave & E 110 St,21319,7522.02,40.7923272,-73.9383
1 Ave & E 16 St,82706,5779.08,40.73221853,-73.98165557
1 Ave & E 18 St,68960,5854.09,40.733812,-73.980544
1 Ave & E 30 St,46767,6079.03,40.74144387,-73.97536082
1 Ave & E 39 St,64367,6303.01,40.74714,-73.97113
1 Ave & E 44 St,28783,6379.03,40.75001986,-73.96905301
1 Ave & E 5 St,9176,5626.14,40.725864,-73.986389
1 Ave & E 6 St,53027,5626.15,40.72633086,-73.9861688
1 Ave & E 62 St,63686,6753.08,40.7612274,-73.96094022
1 Ave & E 68 St,113273,6822.09,40.76500525,-73.95818491
1 Ave & E 78 St,70302,7020.09,40.77140426,-73.9535166
1 Ave & E 94 St,25428,7286.05,40.781721,-73.94594
1 Pl & Clinton St,9838,4193.14,40.6809591,-73.99905709
1 St & 6 Ave,8102,3946.07,40.672784,-73.979826
10 Ave & W 14 St,68056,6157.04,40.7419816,-74.0083158
10 Ave & W 202 St,1179,8543.01,40.86128197,-73.92141759
10 Ave & W 204 St,793,8579.09,40.862638,-73.92006
10 Ave & W 207 St,2665,8613.09,40.864632,-73.918598
10 Ave & W 215 St,1119,8679.03,40.86932466,-73.91519755
10 Ave & W 28 St,75165,6459.04,40.75066386,-74.00176802
10 St & 2 Ave,6704,3922.02,40.671907,-73.993612
10 St & 5 Ave,11274,3842.08,40.6686273,-73.98700053
10 St & 7 Ave,19362,3762.08,40.6662078,-73.98199886
11 Ave & Prospect Ave,6423,3538.09,40.65629,-73.977335
11 Ave & W 27 St,53648,6425.04,40.751396,-74.005226
11 Ave & W 41 St,87263,6726.01,40.76030096,-73.99884222
11 Ave & W 59 St,47112,7059.01,40.77149671,-73.99046034
11 St & 43 Ave,5182,6438.04,40.7519071,-73.9479119
11 St & Washington St,34,HB502,40.74998491,-74.02715027
12 Ave & 36 St,2976,3056.05,40.643546,-73.986418
12 Ave & W 125 St,23905,7886.02,40.818299,-73.960405
12 Ave & W 40 St,89828,6765.01,40.76087502,-74.00277668
12 St & 4 Ave,8568,3882.01,40.668603,-73.9904394
12 St & Sinatra Dr N,3,HB201,40.75060414,-74.02402014
14 St & 5 Ave,14473,3771.06,40.666287,-73.988951
14 St & 7 Ave,12440,3731.11,40.663779,-73.98396846
14 St Ferry - 14 St & Shipyard Ln,43,HB202,40.75296063,-74.02435273
16th St & 4th Ave,4301,3811.05,40.666197,-73.992466
17 St & 5 Ave,10823,3699.07,40.663493,-73.991007
18 St & 27 Ave,6436,7062.07,40.77276829,-73.92743647
19 St & 24 Ave,9032,7186.15,40.7774552,-73.9225403
19 St & 8 Ave,1258,3547.04,40.658489,-73.985543
2 Av & 37 St,1178,3460.04,40.656326,-74.009627
2 Ave & 29 St,247,6122.09,40.74147,-73.978221
2 Ave & 32 St,1827,3532.02,40.659176,-74.006584
2 Ave & 36 St,4973,3460.01,40.65708867,-74.00870204
2 Ave & E 104 St,17355,7436.11,40.7892105,-73.94370784
2 Ave & E 122 St,9089,7622.12,40.8006721,-73.9349
2 Ave & E 125 St,9994,7648.16,40.802554,-73.933509
2 Ave & E 29 St,56277,6122.09,40.74172351,-73.97809267
2 Ave & E 31 St,66655,6197.02,40.742909,-73.977061
2 Ave & E 55 St,23207,6650.08,40.75792,-73.966382
2 Ave & E 72 St,57054,6925.09,40.768762,-73.958408
2 Ave & E 96 St,37732,7338.02,40.7839636,-73.9471673
2 Ave & E 99 St,14859,7386.1,40.7862586,-73.94552579
2 St HBLR - 2 St & Marshall St,2,HB403,40.7408019,-74.04243484
20 Ave & 21 St,1623,7363.04,40.784003,-73.912297
20 Ave & 33 St,1959,7226.03,40.779399,-73.905708
20 Ave & 38 St,5770,7196.04,40.777112,-73.902382
20 Ave & 42 St,1444,7163.07,40.775415,-73.900063
20 Ave & 48 St,1138,7066.01,40.772899,-73.896849
20 Ave & Shore Blvd,1190,7391.02,40.785994,-73.915098
21 Ave & 80 St,977,7060.02,40.770888,-73.889914
21 Ave & Crescent St,5639,7284.01,40.780478,-73.912212
21 Ave & Shore Blvd,2696,7342.01,40.783956,-73.916894
21 St & 21 Ave,4093,7314.03,40.782465,-73.914527
21 St & 23 Ave,3418,7210.07,40.778557,-73.919046
21 St & 31 Dr,8954,6865.03,40.7659,-73.930819
21 St & 36 Ave,4572,6729.02,40.7601853,-73.9362726
21 St & 38 Ave,2692,6656.05,40.7576314,-73.9391224
21 St & 4 Ave,5500,3668.04,40.662584,-73.995554
