start_station_name,count,start_station_id,start_lat,start_lng
1 Ave & E 110 St,20818,7522.02,40.792327,-73.9383
1 Ave & E 16 St,83364,5779.08,40.732219,-73.981656
1 Ave & E 18 St,69611,5854.09,40.733812,-73.980544
1 Ave & E 30 St,47339,6079.03,40.741443,-73.97536
1 Ave & E 39 St,64248,6303.01,40.74714,-73.97113
1 Ave & E 44 St,29331,6379.03,40.750019,-73.969053
1 Ave & E 5 St,9244,5626.14,40.725864,-73.986389
1 Ave & E 6 St,52724,5626.15,40.72633,-73.986168
1 Ave & E 62 St,63773,6753.08,40.761227,-73.96094
1 Ave & E 68 St,113212,6822.09,40.765005,-73.958185
1 Ave & E 78 St,70420,7020.09,40.771404,-73.953517
1 Ave & E 94 St,25300,7286.05,40.781721,-73.94594
1 Pl & Clinton St,9771,4193.14,40.680959,-73.999057
1 St & 6 Ave,8206,3946.07,40.672784,-73.979826
10 Ave & W 14 St,66233,6157.04,40.741981,-74.008315
10 Ave & W 202 St,1137,8543.01,40.861281,-73.921417
10 Ave & W 204 St,763,8579.09,40.862638,-73.92006
10 Ave & W 207 St,2484,8613.09,40.864632,-73.918598
10 Ave & W 215 St,1081,8679.03,40.869324,-73.915197
10 Ave & W 28 St,74794,6459.04,40.750663,-74.001768
10 St & 2 Ave,6040,3922.02,40.671907,-73.993612
10 St & 5 Ave,11213,3842.08,40.668627,-73.987
10 St & 7 Ave,19398,3762.08,40.666207,-73.981998
11 Ave & Prospect Ave,6423,3538.09,40.65629,-73.977335
11 Ave & W 27 St,52807,6425.04,40.751396,-74.005226
11 Ave & W 41 St,87384,6726.01,40.7603,-73.998842
11 Ave & W 59 St,46985,7059.01,40.771496,-73.99046
11 St & 43 Ave,4962,6438.04,40.751907,-73.947911
12 Ave & 36 St,2676,3056.05,40.643546,-73.986418
12 Ave & W 125 St,23388,7886.02,40.818299,-73.960405
12 Ave & W 40 St,89865,6765.01,40.760875,-74.002777
12 St & 4 Ave,8408,3882.01,40.668603,-73.990439
14 St & 5 Ave,14421,3771.06,40.666287,-73.988951
14 St & 7 Ave,12754,3731.11,40.663779,-73.983968
16th St & 4th Ave,4173,3811.05,40.666197,-73.992466
17 St & 5 Ave,10585,3699.07,40.663493,-73.991007
18 St & 27 Ave,6465,7062.07,40.772768,-73.927436
19 St & 24 Ave,9037,7186.15,40.777455,-73.92254
19 St & 8 Ave,1540,3547.04,40.658489,-73.985543
2 Av & 37 St,883,3460.04,40.656326,-74.009627
2 Ave & 29 St,262,6122.09,40.74147,-73.978221
2 Ave & 32 St,1494,3532.02,40.659176,-74.006584
2 Ave & 36 St,4327,3460.01,40.657088,-74.008702
2 Ave & E 104 St,17311,7436.11,40.78921,-73.943707
2 Ave & E 122 St,9016,7622.12,40.800672,-73.9349
2 Ave & E 125 St,9932,7648.16,40.802554,-73.933509
2 Ave & E 29 St,57310,6122.09,40.741723,-73.978092
2 Ave & E 31 St,66723,6197.02,40.742909,-73.97706
2 Ave & E 55 St,23603,6650.08,40.75792,-73.966382
2 Ave & E 72 St,57003,6925.09,40.768762,-73.958407
2 Ave & E 96 St,37587,7338.02,40.783963,-73.947167
2 Ave & E 99 St,14791,7386.1,40.786258,-73.945525
20 Ave & 21 St,1584,7363.04,40.784003,-73.912297
20 Ave & 33 St,1943,7226.03,40.779399,-73.905708
20 Ave & 38 St,5708,7196.04,40.777112,-73.902382
20 Ave & 42 St,1367,7163.07,40.775415,-73.900063
20 Ave & 48 St,1086,7066.01,40.772899,-73.896849
20 Ave & Shore Blvd,1147,7391.02,40.785994,-73.915098
21 Ave & 80 St,943,7060.02,40.770888,-73.889914
21 Ave & Crescent St,5745,7284.01,40.780478,-73.912212
21 Ave & Shore Blvd,2695,7342.01,40.783956,-73.916894
21 St & 21 Ave,4071,7314.03,40.782465,-73.914527
21 St & 23 Ave,3399,7210.07,40.778557,-73.919046
21 St & 31 Dr,8955,6865.03,40.7659,-73.930819
21 St & 36 Ave,4604,6729.02,40.760185,-73.936272
21 St & 38 Ave,2734,6656.05,40.757631,-73.939122
21 St & 4 Ave,5443,3668.04,40.662584,-73.995554
21 St & 43 Ave,4726,6395.01,40.750525,-73.945948
21 St & Hoyt Ave S,10862,7126.01,40.774645,-73.923706
21 St & Queens Plaza North,11711,6471.02,40.753259,-73.943357
23 Ave & 27 St,5436,7178.02,40.776165,-73.915317
23 Rd & 29 St,1623,7082.01,40.77406,-73.914934
23 Rd & 31 St,120,7082.14,40.7733675,-73.9138256
23 St & 3 Ave,1356,3707.01,40.662611,-73.998623
24 Ave & 26 St,5987,7152.1,40.774591,-73.918544
24 Ave & 29 St,6807,7119.04,40.7729,-73.916142
24 St & 38 Ave,4444,6581.14,40.756351,-73.936515
24 St & 41 Ave,9510,6505.09,40.752474,-73.939991
24 St & 5 Ave,5484,3555.04,40.659555,-73.995068
25 Ave & 41 St,6064,6943.07,40.767666,-73.910963
27 Ave & 3 St,3757,7132.08,40.77485,-73.9342
27 Ave & 9 St,5906,7098.05,40.773982,-73.930913
27 St & Hunter St,17040,6310.06,40.7485,-73.941275
28 Ave & 35 St,8286,6951.03,40.7671,-73.916985
28 Ave & 44 St,5620,6879.04,40.764089,-73.910651
28 St & 36 Ave,7474,6614.01,40.757186,-73.932719
28 St & 41 Ave,13275,6462.19,40.751047,-73.93797
29 St & 5 Ave,1578,3523.06,40.656986,-73.998194
3 Ave & 14 St,5430,3850.03,40.668545,-73.993332
3 Ave & 17 St,1871,3779.02,40.666168,-73.995549
3 Ave & Carroll St,6590,4143.04,40.677027,-73.9865
3 Ave & E 100 St,8828,7414.17,40.787721,-73.947283
3 Ave & E 112 St,9054,7543.15,40.795508,-73.941606
3 Ave & E 163 St,3557,7974.01,40.823872,-73.908699
3 Ave & E 169 St,3241,8103.05,40.832678,-73.905158
