,end_station_name,count,end_station_id,end_lat,end_lng
0,1 Ave & E 110 St,24678,7522.02,40.7923272,-73.9383
1,1 Ave & E 16 St,64849,5779.08,40.73221853,-73.98165557
2,1 Ave & E 18 St,72917,5854.09,40.73381219196632,-73.98054420948029
3,1 Ave & E 30 St,51156,6079.03,40.74144387,-73.97536082
4,1 Ave & E 39 St,61276,6303.01,40.74714,-73.97113
5,1 Ave & E 44 St,33110,6379.03,40.75001986,-73.96905301
6,1 Ave & E 6 St,63072,5626.15,40.72633085971696,-73.98616880178452
7,1 Ave & E 62 St,76223,6753.08,40.7612274,-73.96094022
8,1 Ave & E 68 St,108097,6822.09,40.76500525,-73.95818491
9,1 Ave & E 78 St,14110,7020.09,40.77140426,-73.9535166
10,1 Ave & E 94 St,18786,7286.05,40.7817212,-73.94594
11,1 Pl & Clinton St,17187,4193.14,40.6809591,-73.99905709
12,1 St & 6 Ave,15924,3946.07,40.672784,-73.979826
13,10 Ave & W 14 St,83469,6157.04,40.74198159994023,-74.00831580162048
14,10 Ave & W 202 St,1649,8543.01,40.861281970750994,-73.921417593956
15,10 Ave & W 204 St,1345,8579.09,40.862638,-73.92006
16,10 Ave & W 207 St,3388,8613.09,40.864632,-73.918598
17,10 Ave & W 215 St,1859,8679.03,40.86932465640094,-73.91519755125046
18,10 Ave & W 28 St,74803,6459.04,40.75066386,-74.00176802
19,10 St & 2 Ave,9017,3922.02,40.671907,-73.993612
20,10 St & 4 Ave,11904,3882.05,40.67,-73.99
21,10 St & 5 Ave,14875,3842.08,40.6686273,-73.98700053
22,10 St & 7 Ave,28180,3762.08,40.6662078,-73.98199886
23,100 St & 37 Ave,422,6499.06,40.75243,-73.86717
24,100 St & Humphreys St,304,6905.02,40.76574,-73.87012
25,100 St & Lewis Ave,326,6105.02,40.73988,-73.86012
26,100 St & Northern Blvd,614,6618.02,40.75748,-73.86843
27,102 St & 34 Ave,241,6576.07,40.75584,-73.86621
28,103 St & 41 Ave,541,6337.09,40.74875,-73.86285
29,103 St & Martense Ave,451,6062.03,40.74046,-73.8565
30,104 St & 32 Ave,161,6692.03,40.75951,-73.86491
31,104 St & 38 Ave,941,6457.06,40.75138,-73.86242
32,104 St & Northern Blvd,661,6651.01,40.75755,-73.86454
33,107 St & 32 Ave,454,6724.01,40.75996,-73.86224
34,108 St & 39 Ave,793,6490.02,40.75165,-73.85915
35,11 Ave & Prospect Ave,11879,3538.09,40.65629,-73.977335
36,11 Ave & W 27 St,72027,6425.04,40.751396,-74.005226
37,11 Ave & W 41 St,110960,6726.01,40.76030096,-73.99884222
38,11 Ave & W 59 St,52705,7059.01,40.77149671054441,-73.99046033620834
39,11 St & 43 Ave,3122,6438.04,40.7519071,-73.9479119
40,11 St & 44 Rd,71,6319.04,40.749207,-73.949373
