,start_station_name,count,start_station_id,start_lat,start_lng
0,1 Ave & E 110 St,24599,7522.02,40.792481065,-73.938281655
1,1 Ave & E 16 St,64786,5779.08,40.732462645,-73.981466293
2,1 Ave & E 18 St,72743,5854.09,40.73381219196632,-73.98054420948029
3,1 Ave & E 30 St,51070,6079.03,40.741486907,-73.97530365
4,1 Ave & E 39 St,61074,6303.01,40.74714,-73.97113
5,1 Ave & E 44 St,33137,6379.03,40.75001986,-73.96905301
6,1 Ave & E 6 St,62995,5626.15,40.72633085971696,-73.98616880178452
7,1 Ave & E 62 St,75823,6753.08,40.761323333,-73.960757732
8,1 Ave & E 68 St,107648,6822.09,40.76500525,-73.95818491
9,1 Ave & E 78 St,14055,7020.09,40.771569133,-73.953312516
10,1 Ave & E 94 St,18696,7286.05,40.7817212,-73.94594
11,1 Pl & Clinton St,17133,4193.14,40.680969477,-73.999168396
12,1 St & 6 Ave,15853,3946.07,40.672617555,-73.979739666
13,10 Ave & W 14 St,83193,6157.04,40.74198159994023,-74.00831580162048
14,10 Ave & W 202 St,1538,8543.01,40.861281970750994,-73.921417593956
15,10 Ave & W 204 St,1241,8579.09,40.862638,-73.92006
16,10 Ave & W 207 St,3304,8613.09,40.864792705,-73.918563008
17,10 Ave & W 215 St,1838,8679.03,40.86932465640094,-73.91519755125046
18,10 Ave & W 28 St,74778,6459.04,40.75066386,-74.00176802
19,10 St & 2 Ave,8972,3922.02,40.671907,-73.993612
20,10 St & 4 Ave,11708,3882.05,40.66967356370341,-73.98898908183764
21,10 St & 5 Ave,14788,3842.08,40.668672204,-73.987019062
22,10 St & 7 Ave,28183,3762.08,40.666144013,-73.981741905
23,100 St & 37 Ave,415,6499.06,40.752340436,-73.867149711
24,100 St & Humphreys St,294,6905.02,40.76574,-73.87012
25,100 St & Lewis Ave,302,6105.02,40.739790797,-73.85998857
26,100 St & Northern Blvd,615,6618.02,40.75748,-73.86843
27,102 St & 34 Ave,231,6576.07,40.755977154,-73.866218567
28,103 St & 41 Ave,519,6337.09,40.74875,-73.86285
29,103 St & Martense Ave,434,6062.03,40.740521312,-73.856651902
30,104 St & 32 Ave,154,6692.03,40.75951,-73.86491
31,104 St & 38 Ave,925,6457.06,40.751251578,-73.86234796
32,104 St & Northern Blvd,648,6651.01,40.757502675,-73.864652157
33,107 St & 32 Ave,455,6724.01,40.759979129,-73.862223387
34,108 St & 39 Ave,781,6490.02,40.751733661,-73.859300494
35,11 Ave & Prospect Ave,11820,3538.09,40.656354427,-73.977284312
36,11 Ave & W 27 St,71940,6425.04,40.751396,-74.005226
37,11 Ave & W 41 St,111030,6726.01,40.76030096,-73.99884222
38,11 Ave & W 59 St,52564,7059.01,40.77149671054441,-73.99046033620834
39,11 St & 43 Ave,3073,6438.04,40.7519071,-73.9479119
40,11 St & 44 Rd,57,6319.04,40.749207,-73.949373
41,11 St & Washington St,3,HB502,40.70969367,-73.931210756
42,111 St & 37 Ave,527,6567.03,40.753960967,-73.857410073
43,111 St & 49 Ave,480,6287.02,40.746087909,-73.852764964
44,111 St & 53 Ave,253,6171.02,40.74336,-73.85129
45,111 St & Roosevelt Ave,536,6448.07,40.75147,-73.8557
46,112 St & Northern Blvd,459,6683.01,40.757893682,-73.85769856
47,114 St & 39 Ave,447,6524.01,40.753027081,-73.852966785
48,12 Ave & 36 St,4110,3056.05,40.643581748,-73.986335039
49,12 Ave & W 125 St,22110,7886.02,40.818299,-73.960405
50,12 Ave & W 40 St,89156,6765.01,40.76087502,-74.00277668
51,12 St & 4 Ave,10793,3882.01,40.668692708,-73.990649939
52,12 St & Sinatra Dr N,6,HB201,40.709687352,-73.931196928
53,14 St & 5 Ave,20424,3771.06,40.666287,-73.98895053
54,14 St & 7 Ave,22086,3731.11,40.663877845,-73.983967304
55,14 St Ferry - 14 St & Shipyard Ln,2,HB202,40.75990926666667,-73.96213208333333
56,16 St & 4 Ave,1771,3811.05,40.666310191,-73.992491007
57,16th St & 4th Ave,5217,3811.05,40.666197,-73.992466
58,17 St & 5 Ave,14806,3699.07,40.663453221,-73.991005778
59,18 St & 27 Ave,11999,7062.07,40.772768286288304,-73.92743647098541
60,19 St & 24 Ave,10790,7186.15,40.7774552,-73.9225403
61,19 St & 8 Ave,3841,3547.04,40.658569098,-73.985634923
62,2 Av & 37 St,685,3460.04,40.656326,-74.009627
63,2 Ave & 32 St,1412,3532.02,40.659176,-74.006584
64,2 Ave & 36 St,3926,3460.01,40.657353401,-74.008454084
65,2 Ave & 37 St,149,3460.04,40.65629673,-74.009690762
66,2 Ave & 39 St,2246,3460.05,40.65568006,-74.009925485
67,2 Ave & 43 St,1268,3428.04,40.652832747,-74.012779355
68,2 Ave & 44 St,1091,3356.07,40.65230357303063,-74.01344954967499
69,2 Ave & E 104 St,19492,7436.11,40.7892105,-73.94370784
70,2 Ave & E 122 St,12522,7622.12,40.800642252,-73.934957027
71,2 Ave & E 125 St,14101,7648.16,40.802482724,-73.933615327
72,2 Ave & E 29 St,76613,6122.09,40.741776824,-73.978109241
73,2 Ave & E 31 St,56225,6197.02,40.74290902,-73.97706058
74,2 Ave & E 72 St,53716,6925.09,40.768564582,-73.958498478
75,2 Ave & E 96 St,39233,7338.02,40.7839636,-73.9471673
76,2 Ave & E 99 St,11590,7386.1,40.786430478,-73.945563197
77,2 St & Park Ave,3,HB608,40.728481174,-74.012006521
78,20 Ave & 21 St,3300,7363.04,40.78399992,-73.912293196
79,20 Ave & 31 St,987,7256.01,40.780116677,-73.906801462
80,20 Ave & 38 St,7607,7196.04,40.777112,-73.902382
81,20 Ave & 42 St,2878,7163.07,40.775415,-73.900063
82,20 Ave & 48 St,3187,7066.01,40.773037791,-73.897019625
83,20 Ave & Shore Blvd,2002,7391.02,40.785994,-73.915098
84,21 Ave & 80 St,1705,7060.02,40.770878077,-73.889959574
85,21 Ave & Crescent St,12254,7284.01,40.78041172,-73.912014723
86,21 Ave & Shore Blvd,6275,7342.01,40.783956,-73.916894
87,21 St & 21 Ave,8383,7314.03,40.782465,-73.914527
88,21 St & 23 Ave,6273,7210.07,40.778557,-73.919046
89,21 St & 31 Dr,13071,6865.03,40.765846252,-73.931008101
90,21 St & 36 Ave,6031,6729.02,40.7601853,-73.9362726
91,21 St & 38 Ave,3157,6656.05,40.7576314,-73.9391224
92,21 St & 4 Ave,9665,3668.04,40.662584,-73.995554
93,21 St & 43 Ave,8545,6395.01,40.750516534,-73.945861816
94,21 St & Hoyt Ave S,15357,7126.01,40.774683714,-73.923696041
95,21 St & Queens Plaza North,12521,6471.02,40.753303647,-73.94331646
96,23 Ave & 27 St,7691,7178.02,40.776135445,-73.915279508
97,23 Ave & 31 St,7915,7082.08,40.774244428,-73.912778258
98,23 Ave & 83 St,510,6921.04,40.766417265,-73.886851311
99,23 Rd & 31 St,4046,7082.14,40.773417592,-73.913616538
100,23 St & 3 Ave,1599,3707.01,40.662611,-73.998623
101,23 St & 31 Ave,8130,6929.01,40.76663971723091,-73.9286595582962
102,24 Ave & 26 St,9585,7152.1,40.774591,-73.918544
103,24 Ave & 29 St,8682,7119.04,40.7729,-73.916142
104,24 Ave & 87 St,403,6885.01,40.681858166666665,-73.9855399
105,24 Ave & 92 St,324,6913.03,40.765871525,-73.877876401
106,24 St & 38 Ave,6565,6581.14,40.756351,-73.936515
107,24 St & 41 Ave,11726,6505.09,40.752482057,-73.939998746
108,24 St & 5 Ave,6947,3555.04,40.659442902,-73.994847655
109,25 Ave & 41 St,13285,6943.07,40.767725825,-73.911029935
110,25 Ave & 85 St,949,6817.15,40.70974361666666,-73.93120085
111,25 Ave & 96 St,303,6877.06,40.76447,-73.87369
112,26 Ave & 2 St,64,7165.01,40.77684387,-73.93463418
113,27 Ave & 3 St,6659,7132.08,40.774878979,-73.934144378
114,27 Ave & 9 St,7884,7098.05,40.773977637,-73.930867553
115,27 St & Hunter St,20588,6310.06,40.7485,-73.941275
116,28 Ave & 35 St,10737,6951.03,40.7671,-73.9169858
117,28 Ave & 44 St,10895,6879.04,40.76408932350688,-73.91065120697021
118,28 St & 36 Ave,11204,6614.01,40.757212281,-73.932760239
119,28 St & 41 Ave,19062,6462.19,40.751047,-73.93797
120,29 St & 5 Ave,3695,3523.06,40.657042742,-73.998358607
121,29 St & Skillman Ave,31,6194.06,40.744715452,-73.938423276
122,3 Ave & 14 St,6174,3850.03,40.668676138,-73.993303061
123,3 Ave & 17 St,2535,3779.02,40.666168,-73.995549
124,3 Ave & Carroll St,10103,4143.04,40.677027,-73.9865
125,3 Ave & E 100 St,12301,7414.17,40.7877214,-73.94728331
126,3 Ave & E 109 St,4133,7504.19,40.79338,-73.94329
127,3 Ave & E 112 St,11541,7543.15,40.795508,-73.941606
128,3 Ave & E 163 St,5955,7974.01,40.823872,-73.908699
129,3 Ave & E 169 St,10603,8103.05,40.832558751,-73.905241728
130,3 Ave & E 170 St,9164,8137.06,40.834857,-73.903743
131,3 Ave & E 172 St,6211,8205.05,40.839548469,-73.900269032
132,3 Ave & E 174 St,4564,8241.07,40.842041016,-73.898544192
133,3 Ave & E 189 St,543,8526.03,40.859739661,-73.891478658
134,3 Ave & E 62 St,37576,6762.04,40.76312584,-73.96526895
