,Census Tract End,count
0,0.0,3
1,48021950100.0,3
2,48021950200.0,3
3,48021950300.0,15
4,48021950400.0,7
5,48021950501.0,2
6,48021950801.0,5
7,48021950802.0,2
8,48055960101.0,8
9,48209010303,3
10,48209010304.0,13
11,48209010701.0,1
12,48209010804,1
13,48209010806.0,2
14,48209010808.0,2
15,48209010809.0,6
16,48209010901.0,5
17,48209010902.0,19
18,48209010905.0,3
19,48209010906.0,28
20,48209010907.0,6
21,48209010908.0,11
22,48209010909.0,25
23,48209010910,60
24,48453000101.0,2895
25,48453000102.0,587
26,48453000203.0,6566
27,48453000204.0,29468
28,48453000205.0,3482
29,48453000206.0,1794
30,48453000302.0,20057
31,48453000304.0,5116
32,48453000305.0,8375
33,48453000306.0,23350
34,48453000307.0,3283
35,48453000401.0,51553
36,48453000402.0,20170
37,48453000500.0,37212
38,48453000601.0,195322
39,48453000603.0,293171
40,48453000604.0,282113
41,48453000700.0,259240
42,48453000801.0,8394
43,48453000802.0,10126
44,48453000803.0,36619
45,48453000804.0,46135
46,48453000901.0,74355
47,48453000902.0,560029
48,48453001000.0,122565
49,48453001100.0,3461279
50,48453001200.0,374555
51,48453001303.0,228617
52,48453001304.0,37731
53,48453001305.0,627094
54,48453001307.0,13392
55,48453001308.0,31490
56,48453001401.0,222779
57,48453001402.0,26192
58,48453001403.0,10418
59,48453001501.0,716
60,48453001503.0,5858
61,48453001504.0,1356
62,48453001505.0,1768
63,48453001602.0,13254
64,48453001603.0,5188
65,48453001604.0,1910
66,48453001605.0,18812
67,48453001606.0,592
68,48453001705.0,10
69,48453001706.0,21
70,48453001707.0,182
71,48453001712.0,1709
72,48453001713.0,398
73,48453001714,20
74,48453001716,36
75,48453001718.0,130
76,48453001719.0,23
77,48453001722.0,26
78,48453001728.0,199
79,48453001729.0,76
80,48453001733.0,2
81,48453001737.0,112
82,48453001738.0,28
83,48453001740.0,23
84,48453001741.0,6
85,48453001742.0,5
86,48453001745.0,9
87,48453001746.0,33
88,48453001747.0,102
89,48453001748.0,207
90,48453001749.0,67
91,48453001750.0,646
92,48453001751.0,12
93,48453001752.0,116
94,48453001753.0,60
95,48453001754.0,60
96,48453001755.0,9
97,48453001756.0,15
98,48453001757.0,5
99,48453001760.0,8
100,48453001761.0,22
101,48453001764,4
102,48453001765.0,9
103,48453001766.0,12
104,48453001768.0,17
105,48453001769.0,27
106,48453001770.0,11
107,48453001772.0,16
108,48453001773.0,2
109,48453001774.0,70
110,48453001775,2
111,48453001776.0,74
112,48453001777.0,33
113,48453001778.0,1
114,48453001779.0,2
115,48453001780.0,2
116,48453001782.0,2
117,48453001783.0,6
118,48453001784.0,4
119,48453001785.0,10
120,48453001786.0,10
121,48453001804.0,864
122,48453001805.0,384
123,48453001806.0,437
124,48453001811.0,281
125,48453001812.0,732
126,48453001813.0,335
127,48453001817.0,561
128,48453001818.0,711
129,48453001819.0,345
130,48453001820.0,223
131,48453001821.0,281
132,48453001822.0,151
133,48453001823.0,210
134,48453001824.0,30
135,48453001826.0,103
136,48453001828.0,3
137,48453001829.0,32
138,48453001832.0,16
139,48453001833.0,149
140,48453001834.0,126
141,48453001835.0,19
142,48453001839.0,65
143,48453001840.0,35
144,48453001841.0,7
145,48453001842.0,22
