,Census Tract Start,count
0,0.0,5
1,48021950100,1
2,48021950300.0,17
3,48021950400.0,5
4,48021950502,1
5,48021950801.0,4
6,48021950802,9
7,48055960101.0,6
8,48209010303,1
9,48209010304.0,6
10,48209010804.0,1
11,48209010806,4
12,48209010808,1
13,48209010809.0,2
14,48209010901.0,3
15,48209010902.0,9
16,48209010905,1
17,48209010906.0,24
18,48209010907.0,5
19,48209010908.0,6
20,48209010909.0,52
21,48209010910.0,46
22,48453000101.0,3288
23,48453000102.0,608
24,48453000203.0,9656
25,48453000204.0,41653
26,48453000205.0,5596
27,48453000206.0,2884
28,48453000302.0,31089
29,48453000304.0,6904
30,48453000305.0,11900
31,48453000306.0,45973
32,48453000307.0,4048
33,48453000401.0,106166
34,48453000402.0,32316
35,48453000500.0,66747
36,48453000601.0,419583
37,48453000603.0,535969
38,48453000604.0,487236
39,48453000700.0,342344
40,48453000801.0,10115
41,48453000802.0,10877
42,48453000803.0,44266
43,48453000804.0,59314
44,48453000901.0,88415
45,48453000902.0,770348
46,48453001000.0,147877
47,48453001100.0,4928244
48,48453001200.0,530591
49,48453001303.0,302951
50,48453001304.0,45341
51,48453001305.0,831105
52,48453001307.0,15078
53,48453001308.0,42007
54,48453001401.0,329831
55,48453001402.0,25704
56,48453001403.0,12246
57,48453001501.0,926
58,48453001503.0,7438
59,48453001504.0,1862
60,48453001505.0,2383
61,48453001602.0,15893
62,48453001603.0,5025
63,48453001604.0,1760
64,48453001605.0,20033
65,48453001606.0,559
66,48453001705.0,30
67,48453001706.0,11
68,48453001707.0,210
69,48453001712.0,1895
70,48453001713.0,412
71,48453001714.0,27
72,48453001716.0,31
73,48453001718.0,115
74,48453001719.0,26
75,48453001722,43
76,48453001728.0,215
77,48453001729.0,58
78,48453001733.0,1
79,48453001737.0,61
80,48453001738,25
81,48453001740,24
82,48453001741.0,4
83,48453001742.0,2
84,48453001745.0,9
85,48453001746.0,34
86,48453001747.0,97
87,48453001748.0,189
88,48453001749.0,65
89,48453001750.0,678
90,48453001751.0,22
91,48453001752.0,85
92,48453001753.0,121
93,48453001754.0,99
94,48453001755.0,9
95,48453001756.0,12
96,48453001757,1
97,48453001760,16
98,48453001761.0,21
99,48453001764,3
100,48453001765.0,7
101,48453001766.0,8
102,48453001768.0,7
103,48453001769.0,33
104,48453001770.0,6
105,48453001772.0,11
106,48453001774.0,31
107,48453001775.0,2
108,48453001776.0,59
109,48453001777.0,37
110,48453001778.0,1
111,48453001779,2
112,48453001781.0,1
113,48453001782,3
114,48453001783.0,7
115,48453001784.0,10
116,48453001785,17
117,48453001786,10
118,48453001804.0,934
119,48453001805.0,417
120,48453001806.0,408
121,48453001811.0,341
122,48453001812.0,793
123,48453001813.0,293
124,48453001817.0,802
125,48453001818.0,873
126,48453001819.0,490
127,48453001820.0,337
128,48453001821.0,548
129,48453001822.0,181
130,48453001823.0,269
131,48453001824.0,26
132,48453001826.0,142
133,48453001828,6
134,48453001829.0,36
135,48453001832.0,26
136,48453001833.0,118
137,48453001834.0,108
138,48453001835.0,21
139,48453001839.0,62
140,48453001840.0,45
141,48453001841.0,14
142,48453001842.0,19
143,48453001843.0,133
144,48453001844.0,111
145,48453001845.0,115
146,48453001846.0,19
147,48453001847.0,55
148,48453001848.0,75
149,48453001849.0,3154
150,48453001850.0,293
151,48453001851.0,29
152,48453001853,10
153,48453001854.0,12
