Row Labels,Sum of count
48453001100,6394248
48453001305,1076989
48453000902,964555
48453000603,842981
48453000601,839139
48453000604,750422
48453001200,730553
48453000700,461140
48453001401,414901
48453001303,404305
48453002304,232150
48453000401,194582
48453001000,185433
48453000901,113008
48453000500,104910
48453000306,89882
48453001911,88284
48453000804,78088
48453000204,62575
48453001304,58088
48453000803,56351
48453001308,55592
48453002308,50734
48453000402,47869
48453000302,46017
48453001901,41533
48453002317,40561
48453002318,40517
48453002316,36088
48453001402,31241
48453002004,27919
48453001605,27230
48453002314,26019
48453001602,24220
48453001307,19774
48453002005,19215
48453000305,17951
48453002307,17049
48453002111,16994
48453000203,15546
48453001849,15356
48453001403,15128
48453000802,14350
48453002315,13647
48453000801,13586
48453001503,11739
48453000304,10028
48453000205,9580
48453002313,8080
48453002105,7770
48453001603,7649
48453000307,6107
48453002403,5264
48453001910,5093
48453001504,5038
48453001505,4938
48453000206,4932
48453002312,4907
48453002109,4866
48453000101,4815
48453002402,4294
48453002003,4239
48453001604,3345
48453002411,3300
48453001712,2866
48453002002,2483
48453002110,2439
48453002431,2416
48453001501,2342
48453001817,2060
48453001818,1846
48453001804,1553
48453002106,1527
48453002409,1469
48453002107,1440
48453001850,1359
48453001812,1329
48453002410,1329
48453001821,1232
48453002104,1192
48453002112,1073
48453001750,1059
48453000102,1049
48453002422,996
48453001919,893
48453001820,852
48453001819,781
48453001606,767
48453001713,756
48453001823,736
48453002108,710
48453001806,698
48453001805,691
48453001753,686
48453001822,609
48453001811,537
48453001707,533
48453002427,529
48453001813,517
48453002421,513
48453002419,476
48453001728,428
48453001826,408
48453001754,404
48453001844,366
48453002413,356
48453001845,330
48453001718,328
48453002412,322
48453002113,311
48453002424,297
48453001833,293
48453001843,274
48453001752,266
48453001748,264
48453001751,248
48453001915,247
48453002202,219
48453001834,218
48453002208,218
48453002426,212
48453002201,198
48453001705,195
48453001747,178
48453001848,173
48453001839,159
48453001847,140
48453002310,134
48491020406,129
48453002429,123
48453002430,116
48453001917,115
48453001722,112
48453001749,107
48453001706,105
48453002423,102
48453002435,95
48453001914,91
48453001729,90
48453002500,88
48453001829,83
48453001714,80
48453001740,80
48453001840,79
48453001856,75
48491020318,75
48453001737,74
48453001719,72
48453001776,69
48209010909,66
48453001785,65
48209010910,63
48453001777,61
48453002433,61
48453001738,57
48491020311,57
48453002207,53
48453002428,51
48453980000,51
48491020410,51
48453001757,49
48453001716,48
48453001769,48
48491020408,48
48453001824,47
48453002425,47
48453001746,46
48453001832,45
48453001835,45
48453001851,43
48453002407,42
48453002432,42
48453001841,41
48453001828,40
48453001863,40
48453001918,40
48453001774,39
48453001858,36
48453002211,36
48453001842,34
48453001855,32
48453001846,30
48453001908,30
48453001912,30
48453001913,29
48453001761,28
48453001857,27
48491020405,27
48209010906,26
48453001745,26
48453001755,26
48453002209,26
48491020506,26
48453001760,24
48453001786,24
48491020320,22
48453001916,20
48021950300,19
48453001756,19
48453001862,19
48453001864,19
48453001772,18
48491020114,18
48453002212,17
48491020411,16
48209010908,15
48491020701,15
48453001854,14
48209010902,13
48453001782,13
48491020328,13
48453001741,12
48453001765,12
48453001853,12
48491020508,12
48491020703,12
48453001770,11
48491020322,11
48491020708,11
48453001766,10
48453001784,10
48453001861,10
48491020409,10
48491020504,10
48021950802,9
48055960101,8
48209010304,8
48491020317,8
48491020510,8
48491020807,8
48209010901,7
48209010907,7
48453001768,7
48453001783,7
48453001860,7
48491020112,7
48491020301,7
48491020316,7
48491020707,7
48453002436,6
48021950400,5
48453002210,5
48453002319,5
48453002434,5
48491020404,5
48491020602,5
48491021403,5
48021950801,4
48209010806,4
48453001779,4
48453001781,4
48491020115,4
48491021505,4
48491021507,4
48453001742,3
48453001764,3
48453001775,3
48491020327,3
48491020403,3
48491021502,3
48491021504,3
48209010809,2
48453001733,2
48491020319,2
48491020326,2
48491020503,2
48491020706,2
48491020806,2
48491020809,2
48491021508,2
48021950100,1
48021950502,1
48209010303,1
48209010702,1
48209010804,1
48209010805,1
48209010808,1
48209010905,1
48453001778,1
48491020109,1
48491020203,1
48491020204,1
48491020302,1
48491020310,1
48491020312,1
48491020313,1
48491020314,1
48491020321,1
48491020323,1
48491020509,1
48491020603,1
48491020604,1
48491020704,1
48491020803,1
48491020804,1
48491020805,1
48491021202,1
48491021503,1
48491021602,1
48491021603,1
