,startdate,starthour,demand,startdate,starthour,Customer,Subscriber,td_mean,td_median,gcd_mean,gcd_median
0,1/1/2023,0,1105,1/1/2023,0,354,751,973.9204026,689,1.276052731,0.999529426
1,1/1/2023,1,1730,1/1/2023,1,617,1113,889.0621732,694,1.375199054,1.09973055
2,1/1/2023,2,1685,1/1/2023,2,618,1067,856.9880668,664,1.33310519,1.086789771
3,1/1/2023,3,1084,1/1/2023,3,400,684,833.6842593,599.5,1.390051887,1.008082642
4,1/1/2023,4,633,1/1/2023,4,230,403,812.9488818,599,1.400332446,1.050753357
5,1/1/2023,5,301,1/1/2023,5,84,217,812.6822742,549,1.26824348,0.903026852
6,1/1/2023,6,380,1/1/2023,6,79,301,653.8970976,455,1.166799923,0.848370961
7,1/1/2023,7,478,1/1/2023,7,70,408,662.039749,434.5,1.144094592,0.844226099
8,1/1/2023,8,769,1/1/2023,8,132,637,696.5396619,427,1.048323034,0.717053122
9,1/1/2023,9,1320,1/1/2023,9,273,1047,810.6588146,485,1.053290415,0.779606892
10,1/1/2023,10,2059,1/1/2023,10,480,1579,854.2110136,511.5,1.119551839,0.761053168
11,1/1/2023,11,2796,1/1/2023,11,783,2013,898.9568345,585,1.148545855,0.818002513
12,1/1/2023,12,3828,1/1/2023,12,1231,2597,1052.475079,646.5,1.173064182,0.832861922
13,1/1/2023,13,4486,1/1/2023,13,1578,2908,1123.94422,719,1.17041801,0.851315096
14,1/1/2023,14,5104,1/1/2023,14,1721,3383,1114.059147,736,1.198391476,0.889487877
15,1/1/2023,15,5399,1/1/2023,15,1965,3434,1166.385459,776,1.147239201,0.865845743
16,1/1/2023,16,4746,1/1/2023,16,1547,3199,1052.178126,688,1.116857944,0.819988935
17,1/1/2023,17,3515,1/1/2023,17,1001,2514,899.4348571,634,1.117794468,0.859240574
18,1/1/2023,18,2823,1/1/2023,18,696,2127,833.987571,576,1.085611457,0.833563921
19,1/1/2023,19,2319,1/1/2023,19,586,1733,795.4260304,540,1.0350252,0.754399447
20,1/1/2023,20,1970,1/1/2023,20,532,1438,795.8786334,541,0.980506021,0.730503743
21,1/1/2023,21,1547,1/1/2023,21,429,1118,856.6478599,536.5,1.053166376,0.770592443
22,1/1/2023,22,1361,1/1/2023,22,399,962,879.3817244,555,1.10700465,0.784705445
