,startdate,starthour,demand,startdate,starthour,bicycle,moped,scooter,td_mean,td_median,distance_mean,distance_median
0,2018-04-03,18.0,1,2018-04-03,18.0,0.0,0.0,1.0,943.0,943.0,0.2603545328,0.2603545328
1,2018-04-04,10.0,1,2018-04-04,10.0,0.0,0.0,1.0,8.0,8.0,0.0,0.0
2,2018-04-04,15.0,1,2018-04-04,15.0,0.0,0.0,1.0,2608.0,2608.0,9.9860565552,9.9860565552
3,2018-04-04,17.0,1,2018-04-04,17.0,0.0,0.0,1.0,1465.0,1465.0,0.6232353136,0.6232353136
4,2018-04-05,5.0,1,2018-04-05,5.0,0.0,0.0,1.0,433.0,433.0,0.6393909648,0.6393909648
5,2018-04-05,8.0,2,2018-04-05,8.0,0.0,0.0,2.0,637.0,637.0,0.5924774392,0.5924774392
6,2018-04-05,10.0,1,2018-04-05,10.0,0.0,0.0,1.0,117.0,117.0,0.1572069136,0.1572069136
7,2018-04-05,11.0,6,2018-04-05,11.0,0.0,0.0,6.0,453.5,363.5,0.7734000202666667,0.7400530992000001
8,2018-04-05,12.0,6,2018-04-05,12.0,0.0,0.0,6.0,755.5,279.5,0.5614088791999999,0.5176022095999999
9,2018-04-05,13.0,15,2018-04-05,13.0,0.0,0.0,15.0,1106.4666666666667,372.0,1.2900080359466666,0.7381889856
10,2018-04-05,14.0,18,2018-04-05,14.0,0.0,0.0,18.0,866.9444444444445,615.5,1.1249925576,0.8630845967999999
11,2018-04-05,15.0,16,2018-04-05,15.0,0.0,0.0,16.0,1213.3125,500.0,0.9285227513,0.5862637272
12,2018-04-05,16.0,13,2018-04-05,16.0,0.0,0.0,13.0,1198.3076923076924,843.0,2.2562944227692308,1.6590611039999998
13,2018-04-05,17.0,12,2018-04-05,17.0,0.0,0.0,12.0,1329.0,965.0,1.9089558882666668,1.8510648048
14,2018-04-05,18.0,13,2018-04-05,18.0,0.0,0.0,13.0,1465.8461538461538,924.0,1.5276171963076923,1.2328004608
15,2018-04-05,19.0,20,2018-04-05,19.0,0.0,0.0,20.0,1186.1,686.5,1.5684030459199998,0.7248295048
16,2018-04-05,20.0,3,2018-04-05,20.0,0.0,0.0,3.0,3425.0,1825.0,1.4301893786666666,0.9140370351999999
17,2018-04-06,8.0,9,2018-04-06,8.0,0.0,0.0,9.0,346.22222222222223,258.0,0.7333560984888889,0.506417528
18,2018-04-06,9.0,11,2018-04-06,9.0,0.0,0.0,11.0,797.3636363636364,477.0,1.325497746181818,1.2564125663999999
19,2018-04-06,10.0,8,2018-04-06,10.0,0.0,0.0,8.0,492.75,556.5,0.5944968956,0.4672711424
20,2018-04-06,11.0,22,2018-04-06,11.0,0.0,0.0,22.0,921.4545454545455,799.5,1.4457613175272728,1.5944384991999998
21,2018-04-06,12.0,32,2018-04-06,12.0,0.0,0.0,32.0,949.03125,638.0,1.3626282059,1.1501580911999998
22,2018-04-06,13.0,38,2018-04-06,13.0,0.0,0.0,38.0,1060.8947368421052,430.0,1.5419980402947366,0.4570185176
23,2018-04-06,14.0,31,2018-04-06,14.0,0.0,0.0,31.0,895.5483870967741,538.0,1.2782407353290324,0.8543854
24,2018-04-06,15.0,36,2018-04-06,15.0,0.0,0.0,36.0,1166.361111111111,877.5,1.6857110243555555,1.7684224352
25,2018-04-06,16.0,40,2018-04-06,16.0,0.0,0.0,40.0,1560.1,1033.5,1.81567771496,1.4067843968
26,2018-04-06,17.0,31,2018-04-06,17.0,0.0,0.0,31.0,1764.8709677419354,962.0,2.677007439225806,1.2930734672
27,2018-04-06,18.0,50,2018-04-06,18.0,0.0,0.0,50.0,840.98,626.5,1.326590229728,0.9783489543999999
28,2018-04-06,19.0,63,2018-04-06,19.0,0.0,0.0,63.0,1179.5079365079366,848.0,1.6787773108063493,1.4950191071999999
29,2018-04-06,20.0,5,2018-04-06,20.0,0.0,0.0,5.0,523.2,458.0,1.4163535132799998,0.7127127663999999
30,2018-04-07,8.0,3,2018-04-07,8.0,0.0,0.0,3.0,287.0,310.0,0.4355812112,0.5517776256
31,2018-04-07,9.0,2,2018-04-07,9.0,0.0,0.0,2.0,2442.0,2442.0,2.3944539192,2.3944539192
32,2018-04-07,10.0,3,2018-04-07,10.0,0.0,0.0,3.0,635.6666666666666,425.0,1.1337953162666665,0.8661914528
