,startdate,starthour,demand,startdate,starthour,bicycle,moped,scooter,td_mean,td_median,distance_mean,distance_median
5636,1/1/2019,0,368,1/1/2019,0,12,0,356,691.8206522,510,0.691361574,0.479077195
5637,1/1/2019,1,471,1/1/2019,1,25,0,446,730.2632696,514,0.931011947,0.655546616
5638,1/1/2019,2,330,1/1/2019,2,29,0,301,1243.330303,400.5,0.924120195,0.482494737
5639,1/1/2019,3,136,1/1/2019,3,8,0,128,658.3014706,396.5,0.886518515,0.5825355
5640,1/1/2019,4,55,1/1/2019,4,2,0,53,674.5454545,417,0.659071485,0.64187645
5641,1/1/2019,5,27,1/1/2019,5,0,0,27,536.962963,563,0.944415183,0.536864717
5642,1/1/2019,6,23,1/1/2019,6,2,0,21,793.3478261,759,1.154210512,1.044524987
5643,1/1/2019,7,32,1/1/2019,7,2,0,30,600.53125,322.5,0.977106212,0.662071014
5644,1/1/2019,8,43,1/1/2019,8,4,0,39,424.8139535,326,0.752234865,0.65243976
5645,1/1/2019,9,161,1/1/2019,9,1,0,160,650.8509317,392,0.700833384,0.492747362
5646,1/1/2019,10,218,1/1/2019,10,5,0,213,729.0412844,450,0.828182348,0.569176019
5647,1/1/2019,11,454,1/1/2019,11,12,0,442,828.722467,466.5,0.972877056,0.585953042
5648,1/1/2019,12,778,1/1/2019,12,7,0,771,797.3496144,487,0.89530485,0.615778859
5649,1/1/2019,13,837,1/1/2019,13,7,0,830,880.4886499,520,0.997193873,0.628827654
5650,1/1/2019,14,816,1/1/2019,14,16,0,800,922.1973039,531,1.061075087,0.704634941
5651,1/1/2019,15,751,1/1/2019,15,10,0,741,959.7656458,576,1777.650245,0.723897448
5652,1/1/2019,16,789,1/1/2019,16,9,0,780,882.5880862,554,0.99078386,0.656167987
5653,1/1/2019,17,602,1/1/2019,17,7,0,595,835.2026578,561,0.919757366,0.663624442
5654,1/1/2019,18,435,1/1/2019,18,7,0,428,777.0574713,501,0.859816327,0.64187645
5655,1/1/2019,19,420,1/1/2019,19,5,0,415,640.4452381,388.5,0.768705709,0.49709696
5656,1/1/2019,20,319,1/1/2019,20,3,0,316,692.5203762,418,0.84755616,0.501446558
5657,1/1/2019,21,204,1/1/2019,21,3,0,201,741.9313725,411.5,0.731180284,0.459814688
5658,1/1/2019,22,100,1/1/2019,22,0,0,100,545.5,398,0.660138549,0.416318704
5659,1/1/2019,23,125,1/1/2019,23,6,0,119,861.712,421,0.783027131,0.589681269
5660,1/2/2019,0,86,1/2/2019,0,2,0,84,584.2093023,372.5,0.7407973,0.507970956
5661,1/2/2019,1,40,1/2/2019,1,2,0,38,628.55,438,0.773513938,0.449872749
5662,1/2/2019,2,20,1/2/2019,2,0,0,20,1176.9,611.5,1.046855129,0.815239014
5663,1/2/2019,3,4,1/2/2019,3,0,0,4,1165.75,1005.5,1.575175992,1.629545972
5664,1/2/2019,4,2,1/2/2019,4,0,0,2,238,238,0.231771458,0.231771458
5665,1/2/2019,5,4,1/2/2019,5,0,0,4,407.75,251.5,0.505019443,0.385871515
5666,1/2/2019,6,25,1/2/2019,6,1,0,24,294.8,308,0.742712568,0.541835686
5667,1/2/2019,7,69,1/2/2019,7,1,0,68,322.5217391,283,0.642605885,0.52816552
5668,1/2/2019,8,40,1/2/2019,8,0,0,40,383,309.5,0.589230775,0.48932982
5669,1/2/2019,9,47,1/2/2019,9,0,0,47,359.6808511,245,0.590249757,0.418804189
5670,1/2/2019,10,57,1/2/2019,10,2,0,55,342.6842105,233,0.478532133,0.349831986
